x , psi, probabilty
0,0,0
5e-12,0.0314108,0.000986636
1e-11,0.0627905,0.00394265
1.5e-11,0.0941083,0.00885637
2e-11,0.125333,0.0157084
2.5e-11,0.156434,0.0244717
3e-11,0.187381,0.0351118
3.5e-11,0.218143,0.0475865
4e-11,0.24869,0.0618467
4.5e-11,0.278991,0.077836
5e-11,0.309017,0.0954915
5.5e-11,0.338738,0.114743
6e-11,0.368125,0.135516
6.5e-11,0.397148,0.157726
7e-11,0.425779,0.181288
7.5e-11,0.45399,0.206107
8e-11,0.481754,0.232087
8.5e-11,0.509041,0.259123
9e-11,0.535827,0.28711
9.5e-11,0.562083,0.315938
1e-10,0.587785,0.345492
1.05e-10,0.612907,0.375655
1.1e-10,0.637424,0.406309
1.15e-10,0.661312,0.437333
1.2e-10,0.684547,0.468605
1.25e-10,0.707107,0.5
1.3e-10,0.728969,0.531395
1.35e-10,0.750111,0.562667
1.4e-10,0.770513,0.593691
1.45e-10,0.790155,0.624345
1.5e-10,0.809017,0.654508
1.55e-10,0.827081,0.684062
1.6e-10,0.844328,0.71289
1.65e-10,0.860742,0.740877
1.7e-10,0.876307,0.767913
1.75e-10,0.891007,0.793893
1.8e-10,0.904827,0.818712
1.85e-10,0.917755,0.842274
1.9e-10,0.929776,0.864484
1.95e-10,0.940881,0.885257
2e-10,0.951057,0.904508
2.05e-10,0.960294,0.922164
2.1e-10,0.968583,0.938153
2.15e-10,0.975917,0.952414
2.2e-10,0.982287,0.964888
2.25e-10,0.987688,0.975528
2.3e-10,0.992115,0.984292
2.35e-10,0.995562,0.991144
2.4e-10,0.998027,0.996057
2.45e-10,0.999507,0.999013
2.5e-10,1,1
2.55e-10,0.999507,0.999013
2.6e-10,0.998027,0.996057
2.65e-10,0.995562,0.991144
2.7e-10,0.992115,0.984292
2.75e-10,0.987688,0.975528
2.8e-10,0.982287,0.964888
2.85e-10,0.975917,0.952414
2.9e-10,0.968583,0.938153
2.95e-10,0.960294,0.922164
3e-10,0.951057,0.904508
3.05e-10,0.940881,0.885257
3.1e-10,0.929776,0.864484
3.15e-10,0.917755,0.842274
3.2e-10,0.904827,0.818712
3.25e-10,0.891007,0.793893
3.3e-10,0.876307,0.767913
3.35e-10,0.860742,0.740877
3.4e-10,0.844328,0.71289
3.45e-10,0.827081,0.684062
3.5e-10,0.809017,0.654508
3.55e-10,0.790155,0.624345
3.6e-10,0.770513,0.593691
3.65e-10,0.750111,0.562667
3.7e-10,0.728969,0.531395
3.75e-10,0.707107,0.5
3.8e-10,0.684547,0.468605
3.85e-10,0.661312,0.437333
3.9e-10,0.637424,0.406309
3.95e-10,0.612907,0.375655
4e-10,0.587785,0.345492
4.05e-10,0.562083,0.315938
4.1e-10,0.535827,0.28711
4.15e-10,0.509041,0.259123
4.2e-10,0.481754,0.232087
4.25e-10,0.45399,0.206107
4.3e-10,0.425779,0.181288
4.35e-10,0.397148,0.157726
4.4e-10,0.368125,0.135516
4.45e-10,0.338738,0.114743
4.5e-10,0.309017,0.0954915
4.55e-10,0.278991,0.077836
4.6e-10,0.24869,0.0618467
4.65e-10,0.218143,0.0475865
